Date,MAIN_MARKET_50_index_Open,MAIN_MARKET_50_index_High,MAIN_MARKET_50_index_Low,MAIN_MARKET_50_index_Close,NSE-ALL_SHARE_index_Open,NSE-ALL_SHARE_index_High,NSE-ALL_SHARE_index_Low,NSE-ALL_SHARE_index_Close,NIFTY_50_index_Open,NIFTY_50_index_High,NIFTY_50_index_Low,NIFTY_50_index_Close,FTSE_AOX_GENERAL_index_Open,FTSE_AOX_GENERAL_index_High,FTSE_AOX_GENERAL_index_Low,FTSE_AOX_GENERAL_index_Close,QE_GENERAL_index_Open,QE_GENERAL_index_High,QE_GENERAL_index_Low,QE_GENERAL_index_Close,FTSE_100_index_Open,FTSE_100_index_High,FTSE_100_index_Low,FTSE_100_index_Close,BOVESPA_index_Open,BOVESPA_index_High,BOVESPA_index_Low,BOVESPA_index_Close,NKY_index_Open,NKY_index_High,NKY_index_Low,NKY_index_Close,XIN9I_index_Open,XIN9I_index_High,XIN9I_index_Low,XIN9I_index_Close,DAX_index_Open,DAX_index_High,DAX_index_Low,DAX_index_Close,SPX_index_Open,SPX_index_High,SPX_index_Low,SPX_index_Close
24/5/2016,27015.97,27231.5,26993.78,27231.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/5/2016,27231.5,28261.65,27231.5,28260.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/5/2016,28260.61,28963.21,28260.61,28877.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/5/2016,28877.47,29125.78,28877.47,28902.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/5/2016,28902.25,28907.56,27657.31,27671.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2016,27663.16,27663.16,26893.58,26910.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2016,26890.02,27218.6,26446.96,27183.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2016,27183.64,27660.83,27181.82,27634.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,27634.42,27716.1,27488.88,27599.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2016,27585.06,27585.06,27440.42,27475.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2016,27475.48,27496.62,27090.25,27098.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2016,27098.18,27347.99,27091.63,27284.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2016,27284.83,27439.33,27205.65,27232.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2016,27232.62,27264.55,27051.17,27103.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/6/2016,27103.38,27116.21,26966.95,27034.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/6/2016,27034.05,27891.96,27034.05,27891.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/6/2016,27917.23,28755.05,27917.23,28489.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/6/2016,28489.89,29271.57,28489.89,29247.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/6/2016,29247.27,29355.21,28752.98,28769.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/6/2016,28769.9,29425.4,28725.53,29422.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/6/2016,29422.71,30134.68,29422.71,30127.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/6/2016,30127.82,31071.25,30127.82,31071.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/6/2016,31071.25,31073.32,30163.91,30649.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/6/2016,30649.66,30683.18,29820.44,29843.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/6/2016,29840.23,29840.23,29342.05,29575.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/6/2016,29575.24,29868.23,29529.95,29812.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/6/2016,29812.91,29846.67,29580.93,29597.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2016,29597.79,29601.05,29259.39,29305.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2016,29305.4,29332.39,28980.61,29005.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2016,29002.26,29041.12,28828.74,28854.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2016,28854.98,28890.5,28598.46,28815.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2016,28813.71,28942.99,28709.73,28857.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/7/2016,28857.74,28861.2,28694.82,28730.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/7/2016,28730.42,28736.87,28658.2,28703.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/7/2016,28703.09,28855.18,28702.55,28805.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/7/2016,28805.45,28875.74,28681.21,28740.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/7/2016,28733.9,28739.38,28472.53,28488.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/7/2016,28488.56,28489.57,28201.38,28221.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/7/2016,28221.18,28223.24,27990.26,27997.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/7/2016,27997.29,28078.29,27659.44,27659.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/7/2016,27659.44,27693.1,27449.64,27629.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/7/2016,27629.9,27985.69,27619.37,27945.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/7/2016,27945.02,28263.02,27945.02,28205.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/7/2016,28205.62,28207.06,28040.68,28046.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/7/2016,28057.91,28130.08,28003.61,28009.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2016,28009.93,28040.45,27802.49,27843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/2016,27843,28006.15,27757.96,27831.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2016,27831.95,27840.55,27687.17,27687.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2016,27687.8,27795.31,27658.43,27751.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2016,27751.34,27766.99,27425.86,27425.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2016,27425.86,27458.99,27313.96,27394.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2016,27394.98,27476.31,27248.35,27272.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2016,27272.14,27421.83,27220.76,27421.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2016,27421.83,27461.59,27241.08,27280.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2016,27280.95,27291.06,27180.04,27246.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/8/2016,27246.88,27341.27,27179.66,27316.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/8/2016,27316.52,27438.07,27294.28,27389.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
