Country Name,Country Code,2020_gdp,2021_gdp,2022_gdp,2020_case,2021_case,2022_case
Afghanistan,AFG,516.8667973517257,363.6740871130491,,52224.0,105754.0,15995.0
Angola,AGO,1502.950754145175,1903.717404956877,2998.501158109211,17207.0,64040.0,17153.0
Albania,ALB,5343.037703995597,6377.2030955375285,6802.804518851128,58212.0,151908.0,61601.0
United Arab Emirates,ARE,37629.17416806525,44315.55418389598,53757.86325083077,207682.0,554115.0,119033.0
Argentina,ARG,8496.428156755004,10636.115530198644,13686.008673731694,1625386.0,4028894.0,3257909.0
Armenia,ARM,4505.867745526379,4966.51347122366,7014.206591722739,159144.0,185432.0,75568.0
Antigua and Barbuda,ATG,15284.772383537816,16740.348196381834,18745.173508779622,58.0,4125.0,3166.0
Australia,AUS,51722.06900015308,60444.50235519775,64491.42988606309,28299.0,396587.0,2900718.0
Austria,AUT,48809.226876223474,53637.70571098969,52131.44665863871,359589.0,916370.0,1465404.0
Azerbaijan,AZE,4229.910649045028,5408.045351750229,7736.701232069749,218578.0,398247.0,170420.0
Burundi,BDI,216.82741744576165,221.1578034063203,238.4418756554797,714.0,26548.0,10761.0
Belgium,BEL,45517.90381820186,51268.388037359815,49582.82536491865,645646.0,1458847.0,1458498.0
Benin,BEN,1237.9492953502952,1361.100749058311,1303.2220135894413,3320.0,21684.0,1632.0
Burkina Faso,BFA,833.2443361060759,893.0771959862972,832.8842656740754,6593.0,10925.0,3119.0
Bangladesh,BGD,2233.3058925182936,2457.924049022356,2688.3039503582763,513387.0,1072029.0,359569.0
Bulgaria,BGR,10153.476600386935,12222.235645940968,13772.47679445096,202139.0,544842.0,349086.0
Bahrain,BHR,23433.187236257385,26860.072501810475,30152.034683860093,92461.0,189387.0,234097.0
Bosnia and Herzegovina,BIH,6095.1024786932685,7230.198162803656,7585.375001715213,110639.0,180230.0,80240.0
Belarus,BLR,6542.864539843605,7489.718947138883,7904.856242855171,194132.0,504826.0,224322.0
Belize,BLZ,5266.876160042135,6228.26730928353,6968.361584808894,10662.0,22021.0,23976.0
Bolivia,BOL,3068.812555164562,3345.1965883838657,3523.2737330519576,160017.0,439629.0,294022.0
Brazil,BRA,6923.700197150645,7696.785531275621,8917.673897969275,7700628.0,14485929.0,6554656.0
Barbados,BRB,16643.806578717675,17225.462304409673,20018.51515130541,280.0,28182.0,26978.0
