,NQ1 Index,,,,NKY Index,,,,XIN9I Index,,,,HSI Index,,,,DAX Index,,,,UKX Index,,,,MXIN Index,,,,SPX Index,,,,USYC2Y10 Index,,,,USYC1030 Index,,,,XAU Curncy,,,,CLZ3 Comdty,,,,DXY Curncy,,,
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
2/1/2018,6410,6528,6404,6520,22831.49,22881.21,22753.2,22764.94,13195.72,13443.23,13195.72,13424.28,30028.29,30515.31,30028.29,30515.31,12897.69,12924.16,12745.15,12871.39,7687.77,7691.34,7624.14,7648.1,1259.75,1261.48,1248.19,1253.19,2683.73,2695.89,2682.36,2695.81,51.121,55.285,51.121,54.015,32.616,35.03,32.539,34.849,1303.45,1314.61,1302.59,1312.52,#N/A N/A,#N/A N/A,#N/A N/A,51.49,92.209,92.23,91.751,91.872
3/1/2018,6519,6597,6518,6590,22831.49,22881.21,22753.2,22764.94,13424.28,13597.96,13393.94,13422.47,30658.73,30724.32,30456.76,30560.95,12916.18,13023.59,12893.05,12978.21,7648.1,7689.86,7640.53,7671.11,1257.22,1262.01,1252.77,1254.46,2697.85,2714.37,2697.77,2713.06,53.411,54.559,50.633,51.176,34.584,35.305,33.354,33.665,1312.52,1321.56,1311.92,1315.87,#N/A N/A,#N/A N/A,#N/A N/A,51.57,91.865,92.261,91.806,92.162
4/1/2018,6590,6623,6586,6609,23073.73,23506.33,23065.2,23506.33,13422.47,13547.75,13419.33,13490.75,30691.71,30796.93,30560.43,30736.48,13065.98,13208.35,13062.67,13167.89,7671.11,7702.51,7671.11,7695.88,1257.86,1262.9,1253.4,1262.02,2719.31,2729.29,2719.07,2723.99,51.095,51.918,49.117,49.701,33.797,34.006,32.215,33.194,1315.88,1320.1,1305.98,1319.74,#N/A N/A,#N/A N/A,#N/A N/A,51.52,92.246,92.261,91.798,91.853
5/1/2018,6614,6677,6606,6674,23643,23730.47,23520.52,23714.53,13490.75,13618.34,13479.58,13565.95,30893.86,30911.01,30638.53,30814.64,13219.11,13332.8,13219.11,13319.64,7695.88,7727.73,7689.81,7724.22,1266.18,1272.72,1264.78,1272.25,2731.33,2743.45,2727.92,2743.15,49.883,51.641,48.78,51.236,32.935,34.318,32.661,33.239,1319.74,1326.07,1313.77,1319.59,#N/A N/A,#N/A N/A,#N/A N/A,51.83,91.822,92.1,91.775,91.949
8/1/2018,6674,6697,6661,6695,23643,23730.47,23520.52,23714.53,13565.95,13640.42,13526.17,13611.72,30895.09,30929.15,30732.54,30899.53,13399.62,13407.82,13334.16,13367.78,7724.22,7733.39,7691.77,7696.51,1276.02,1282.31,1276.02,1281.47,2742.67,2748.51,2737.6,2747.71,50.643,52.182,50.365,52,32.817,33.761,32.372,32.948,1319.59,1322.2,1314.91,1318.22,#N/A N/A,#N/A N/A,#N/A N/A,52.29,92.022,92.396,91.882,92.358
9/1/2018,6696,6714,6675,6694,23948.97,23952.61,23789.03,23849.99,13611.72,13773.3,13590.17,13759.44,30933.51,31056.7,30852.43,31011.41,13383.26,13425.02,13361.22,13385.59,7696.51,7733.12,7696.5,7731.02,1284.05,1285.11,1277.16,1281.64,2751.15,2759.14,2747.86,2751.29,51.776,58.118,51.594,58.078,32.688,34.638,32.453,34.032,1318.22,1321.16,1308.97,1311.86,#N/A N/A,#N/A N/A,#N/A N/A,52.66,92.304,92.64,92.213,92.528
10/1/2018,6688,6693,6637,6685,23832.81,23864.76,23755.45,23788.2,13759.44,13944.63,13747.21,13927.97,31009.24,31267.57,30928.58,31073.72,13355.28,13377.88,13227.57,13281.34,7731.02,7756.11,7716.21,7748.51,1283.72,1284.01,1276.19,1281.47,2745.55,2750.8,2736.06,2748.23,58.118,62.336,56.975,58.033,34.159,35.273,33.666,33.979,1311.88,1327.77,1308.33,1317.89,#N/A N/A,#N/A N/A,#N/A N/A,52.51,92.527,92.56,91.922,92.332
11/1/2018,6683,6737,6673,6735,23656.39,23734.97,23601.84,23710.43,13927.97,13987.37,13833.02,13904.47,31066.21,31133.18,30950.07,31120.39,13281.2,13298.65,13151.84,13202.9,7748.51,7768.96,7734.64,7762.94,1282.01,1286.1,1278.67,1284.74,2752.97,2767.56,2752.78,2767.56,57.483,58.945,55.015,55.605,33.865,34.672,32.582,32.876,1317.88,1323.56,1315.36,1322.31,#N/A N/A,#N/A N/A,#N/A N/A,52.52,92.366,92.546,91.787,91.852
12/1/2018,6733,6785,6713,6784,23719.66,23743.05,23588.07,23653.82,13904.47,14046.98,13899.33,14041.02,31298.05,31412.54,31198.36,31412.54,13241.28,13265.14,13168.01,13245.03,7762.94,7792.56,7752.63,7778.64,1288.94,1289.68,1276.07,1287.44,2770.18,2787.85,2769.64,2786.24,55.889,57.033,54.263,54.63,32.334,32.78,29.768,29.926,1322.32,1333.19,1321.23,1331.93,#N/A N/A,#N/A N/A,#N/A N/A,52.61,91.74,91.879,90.902,90.974
15/1/2018,6733,6785,6713,6784,23827.98,23833.27,23685.02,23714.88,14041.02,14321.63,14041.02,14226.25,31702.56,31733.18,31265.25,31338.87,13244.37,13250.37,13173.71,13200.51,7778.64,7783.61,7763.43,7769.14,1292.22,1298.78,1290.63,1291.78,2770.18,2787.85,2769.64,2786.24,54.447,54.447,54.447,54.447,29.926,29.926,29.926,29.926,1336.84,1344.81,1336.09,1340.16,#N/A N/A,#N/A N/A,#N/A N/A,52.61,90.899,90.942,90.279,90.974
16/1/2018,6793,6855,6740,6772,23721.17,23962.07,23701.83,23951.81,14226.25,14334.26,14167.8,14327.5,31423.62,31904.75,31423.62,31904.75,13228.6,13351.09,13196.56,13246.33,7769.14,7791.83,7740.55,7755.93,1294.02,1295.1,1284.04,1285.85,2798.96,2807.54,2768.64,2776.42,53.584,54.361,51.468,51.879,30.138,30.513,28.47,28.653,1340.16,1342.36,1331.97,1334.75,#N/A N/A,#N/A N/A,#N/A N/A,52.67,90.48,90.826,90.337,90.393
17/1/2018,6769,6844,6757,6834,23783.42,23891.63,23739.17,23868.34,14327.5,14569.65,14245.19,14318.8,31825.52,31983.41,31642.27,31983.41,13200.92,13251.44,13137.51,13183.96,7755.93,7755.93,7711.11,7725.43,1286.91,1299.26,1280.57,1297.84,2784.99,2807.04,2778.38,2802.56,51.512,54.316,50.405,54.316,28.705,29.045,26.42,26.475,1334.76,1344.05,1331.33,1335.96,#N/A N/A,#N/A N/A,#N/A N/A,53,90.258,91.004,90.113,90.541
18/1/2018,6830,6848,6806,6824,24078.93,24084.42,23699.47,23763.37,14318.8,14541.45,14315.28,14454.25,32148.45,32233.81,31869.7,32121.94,13250.25,13293.29,13201.34,13281.43,7725.43,7739.54,7683.71,7700.96,1305.68,1305.85,1289.33,1293.79,2802.4,2805.83,2792.56,2798.03,53.721,58.036,53.537,57.809,26.184,27.912,25.914,27.586,1335.96,1340.54,1324.33,1329.14,#N/A N/A,#N/A N/A,#N/A N/A,53.27,90.903,90.983,90.408,90.498
19/1/2018,6829,6867,6814,6857,23854.11,23872.69,23735.61,23808.06,14454.25,14632.28,14403.1,14476.75,32142.16,32254.89,31986,32254.89,13297.74,13445.47,13294.81,13434.45,7700.96,7731.82,7694.66,7730.79,1294.67,1303.93,1291.27,1302.13,2802.6,2810.33,2798.08,2810.3,57.44,59.449,56.289,59.035,27.875,28.912,26.623,27.204,1329.14,1338.17,1325.58,1331.84,#N/A N/A,#N/A N/A,#N/A N/A,53.57,90.501,90.704,90.155,90.572
22/1/2018,6845,6953,6840,6943,23797.84,23816.33,23697.81,23816.33,14476.75,14630.19,14415.92,14598.28,32276.96,32417.23,32046.84,32393.41,13435.14,13470.05,13410.96,13463.69,7730.79,7739.35,7703.67,7715.44,1301.78,1313.57,1298.87,1312.74,2809.16,2833.03,2808.12,2832.97,58.207,59.205,56.564,58.506,27.099,27.728,25.791,26.106,1335.19,1335.8,1328.51,1332.18,#N/A N/A,#N/A N/A,#N/A N/A,53.68,90.44,90.698,90.347,90.401
23/1/2018,6944,6994,6935,6979,23924.4,24129.34,23916.02,24124.15,14598.28,14851.55,14596.53,14844.58,32606.14,32930.7,32554.23,32930.7,13577.14,13596.89,13517.81,13559.6,7715.44,7745.22,7710.03,7731.83,1317.12,1328.1,1317.03,1326.38,2835.05,2842.24,2830.59,2839.13,58.277,58.877,55.66,57.067,25.896,28.193,25.655,27.956,1332.18,1339.26,1331.26,1337.75,#N/A N/A,#N/A N/A,#N/A N/A,53.9,90.332,90.588,90.063,90.124
24/1/2018,6972,7017,6902,6945,24026.43,24072.77,23917.14,23940.78,14844.58,14939.48,14712.2,14838.1,32907.23,33018.71,32728.51,32958.69,13572.71,13576.84,13414.74,13414.74,7731.83,7731.98,7643.43,7643.43,1324.61,1328.09,1320.72,1323.84,2845.42,2852.97,2824.81,2837.54,56.72,58.71,55.863,56.637,27.766,29.286,27.263,27.991,1337.76,1355.75,1336.82,1353.9,#N/A N/A,#N/A N/A,#N/A N/A,53.36,90.093,90.113,89.158,89.206
25/1/2018,6945,7001,6916,6945,23750.65,23828.4,23649.03,23669.49,14838.1,14846.76,14543.04,14706.82,32979.38,32998.05,32650.22,32654.45,13374.38,13443.36,13222.47,13298.36,7643.43,7662.35,7608.53,7615.84,1325.62,1325.62,1313.25,1316.57,2846.24,2848.56,2830.94,2839.25,56.421,57.242,52.879,52.879,27.886,28.635,25.524,26.37,1353.9,1366.15,1353.31,1362.81,#N/A N/A,#N/A N/A,#N/A N/A,53.54,89.283,89.58,88.438,89.391
26/1/2018,6951,7047,6949,7043,23757.34,23797.96,23592.28,23631.88,14706.82,14876.91,14654.88,14774.37,32836.28,33223.58,32794.13,33154.12,13297.51,13348.69,13268.31,13340.17,7615.84,7667.4,7615.84,7665.54,1325.62,1325.62,1313.25,1316.57,2847.48,2872.87,2846.18,2872.87,53.064,54.277,51.795,53.963,26.159,26.838,24.529,24.961,1362.82,1364.83,1342.55,1349.12,#N/A N/A,#N/A N/A,#N/A N/A,53.43,89.327,89.35,88.723,89.067
29/1/2018,7046,7062,6995,7007,23707.14,23787.23,23580.17,23629.34,14774.37,14851.07,14394.68,14461.8,33335.48,33484.08,32897.04,32966.89,13358.9,13370.02,13274.84,13324.48,7665.54,7689.15,7663.93,7671.53,1318.1,1328.31,1317.94,1322.15,2867.23,2870.62,2851.48,2853.53,53.591,58.178,53.22,57.328,24.77,25.129,23.366,24.667,1350.06,1352.44,1337.71,1341.76,#N/A N/A,#N/A N/A,#N/A N/A,53.06,89.113,89.619,89.007,89.308
