,NQ1 Index,,NKY Index,,XIN9I Index,,HSI Index,,DAX Index,,UKX Index,,MXIN Index,,SPX Index,,USYC2Y10 Index,,USYC1030 Index,,XAU Curncy,,CLZ3 Comdty,,DXY Curncy,
Dates,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST,PX_OPEN,PX_LAST
2/1/2018,6410,6520,22831.49,22764.94,13195.72,13424.28,30028.29,30515.31,12897.69,12871.39,7687.77,7648.1,1259.75,1253.19,2683.73,2695.81,51.121,54.015,32.616,34.849,1303.45,1312.52,#N/A N/A,51.49,92.209,91.872
3/1/2018,6519,6590,22831.49,22764.94,13424.28,13422.47,30658.73,30560.95,12916.18,12978.21,7648.1,7671.11,1257.22,1254.46,2697.85,2713.06,53.411,51.176,34.584,33.665,1312.52,1315.87,#N/A N/A,51.57,91.865,92.162
4/1/2018,6590,6609,23073.73,23506.33,13422.47,13490.75,30691.71,30736.48,13065.98,13167.89,7671.11,7695.88,1257.86,1262.02,2719.31,2723.99,51.095,49.701,33.797,33.194,1315.88,1319.74,#N/A N/A,51.52,92.246,91.853
5/1/2018,6614,6674,23643,23714.53,13490.75,13565.95,30893.86,30814.64,13219.11,13319.64,7695.88,7724.22,1266.18,1272.25,2731.33,2743.15,49.883,51.236,32.935,33.239,1319.74,1319.59,#N/A N/A,51.83,91.822,91.949
8/1/2018,6674,6695,23643,23714.53,13565.95,13611.72,30895.09,30899.53,13399.62,13367.78,7724.22,7696.51,1276.02,1281.47,2742.67,2747.71,50.643,52,32.817,32.948,1319.59,1318.22,#N/A N/A,52.29,92.022,92.358
9/1/2018,6696,6694,23948.97,23849.99,13611.72,13759.44,30933.51,31011.41,13383.26,13385.59,7696.51,7731.02,1284.05,1281.64,2751.15,2751.29,51.776,58.078,32.688,34.032,1318.22,1311.86,#N/A N/A,52.66,92.304,92.528
10/1/2018,6688,6685,23832.81,23788.2,13759.44,13927.97,31009.24,31073.72,13355.28,13281.34,7731.02,7748.51,1283.72,1281.47,2745.55,2748.23,58.118,58.033,34.159,33.979,1311.88,1317.89,#N/A N/A,52.51,92.527,92.332
11/1/2018,6683,6735,23656.39,23710.43,13927.97,13904.47,31066.21,31120.39,13281.2,13202.9,7748.51,7762.94,1282.01,1284.74,2752.97,2767.56,57.483,55.605,33.865,32.876,1317.88,1322.31,#N/A N/A,52.52,92.366,91.852
12/1/2018,6733,6784,23719.66,23653.82,13904.47,14041.02,31298.05,31412.54,13241.28,13245.03,7762.94,7778.64,1288.94,1287.44,2770.18,2786.24,55.889,54.63,32.334,29.926,1322.32,1331.93,#N/A N/A,52.61,91.74,90.974
15/1/2018,6733,6784,23827.98,23714.88,14041.02,14226.25,31702.56,31338.87,13244.37,13200.51,7778.64,7769.14,1292.22,1291.78,2770.18,2786.24,54.447,54.447,29.926,29.926,1336.84,1340.16,#N/A N/A,52.61,90.899,90.974
16/1/2018,6793,6772,23721.17,23951.81,14226.25,14327.5,31423.62,31904.75,13228.6,13246.33,7769.14,7755.93,1294.02,1285.85,2798.96,2776.42,53.584,51.879,30.138,28.653,1340.16,1334.75,#N/A N/A,52.67,90.48,90.393
17/1/2018,6769,6834,23783.42,23868.34,14327.5,14318.8,31825.52,31983.41,13200.92,13183.96,7755.93,7725.43,1286.91,1297.84,2784.99,2802.56,51.512,54.316,28.705,26.475,1334.76,1335.96,#N/A N/A,53,90.258,90.541
18/1/2018,6830,6824,24078.93,23763.37,14318.8,14454.25,32148.45,32121.94,13250.25,13281.43,7725.43,7700.96,1305.68,1293.79,2802.4,2798.03,53.721,57.809,26.184,27.586,1335.96,1329.14,#N/A N/A,53.27,90.903,90.498
19/1/2018,6829,6857,23854.11,23808.06,14454.25,14476.75,32142.16,32254.89,13297.74,13434.45,7700.96,7730.79,1294.67,1302.13,2802.6,2810.3,57.44,59.035,27.875,27.204,1329.14,1331.84,#N/A N/A,53.57,90.501,90.572
22/1/2018,6845,6943,23797.84,23816.33,14476.75,14598.28,32276.96,32393.41,13435.14,13463.69,7730.79,7715.44,1301.78,1312.74,2809.16,2832.97,58.207,58.506,27.099,26.106,1335.19,1332.18,#N/A N/A,53.68,90.44,90.401
23/1/2018,6944,6979,23924.4,24124.15,14598.28,14844.58,32606.14,32930.7,13577.14,13559.6,7715.44,7731.83,1317.12,1326.38,2835.05,2839.13,58.277,57.067,25.896,27.956,1332.18,1337.75,#N/A N/A,53.9,90.332,90.124
24/1/2018,6972,6945,24026.43,23940.78,14844.58,14838.1,32907.23,32958.69,13572.71,13414.74,7731.83,7643.43,1324.61,1323.84,2845.42,2837.54,56.72,56.637,27.766,27.991,1337.76,1353.9,#N/A N/A,53.36,90.093,89.206
25/1/2018,6945,6945,23750.65,23669.49,14838.1,14706.82,32979.38,32654.45,13374.38,13298.36,7643.43,7615.84,1325.62,1316.57,2846.24,2839.25,56.421,52.879,27.886,26.37,1353.9,1362.81,#N/A N/A,53.54,89.283,89.391
26/1/2018,6951,7043,23757.34,23631.88,14706.82,14774.37,32836.28,33154.12,13297.51,13340.17,7615.84,7665.54,1325.62,1316.57,2847.48,2872.87,53.064,53.963,26.159,24.961,1362.82,1349.12,#N/A N/A,53.43,89.327,89.067
29/1/2018,7046,7007,23707.14,23629.34,14774.37,14461.8,33335.48,32966.89,13358.9,13324.48,7665.54,7671.53,1318.1,1322.15,2867.23,2853.53,53.591,57.328,24.77,24.667,1350.06,1341.76,#N/A N/A,53.06,89.113,89.308
30/1/2018,7011,6956,23559.33,23291.97,14461.8,14247.78,32751.72,32607.29,13223.97,13197.71,7671.53,7587.98,1321.3,1310.36,2832.74,2822.43,57.86,59.153,24.463,24.888,1341.76,1338.68,#N/A N/A,52.43,89.442,89.16
31/1/2018,6953,6978,23205.23,23098.29,14247.78,14470.6,32435.76,32887.27,13210.76,13189.48,7587.98,7533.55,1306.74,1303.56,2832.41,2823.81,59.367,56.043,24.725,22.796,1338.67,1339.79,#N/A N/A,52.24,89.1,89.133
1/2/2018,6990,6914,23276.1,23486.11,14470.6,14533.45,32950.3,32642.09,13235.15,13003.9,7533.55,7490.39,1305.85,1300.95,2816.45,2821.98,56.519,62.47,22.084,23.345,1339.79,1341.57,#N/A N/A,52.23,89.069,88.671
2/2/2018,6962,6771,23361.67,23274.53,14533.45,14574.01,32569.01,32601.78,12954.59,12785.16,7490.39,7443.43,1289.88,1268.92,2808.92,2762.13,62.067,69.579,23.262,24.383,1341.57,1333.39,#N/A N/A,51.27,88.639,89.195
5/2/2018,6768,6447,22921.16,22682.08,14574.01,14649.55,31715.56,32245.22,12687.79,12687.49,7443.43,7334.98,1250.46,1259.6,2741.06,2648.94,69.768,67.741,24.783,29.854,1331.66,1334.95,#N/A N/A,50.93,89.347,89.554
6/2/2018,6494,6668,22267,21610.24,14649.55,14304.95,31028.68,30595.42,12232.86,12392.66,7334.98,7141.4,1225.15,1237.79,2614.78,2695.14,69.585,69.056,29.944,26.234,1334.95,1327.82,#N/A N/A,50.68,89.616,89.585
7/2/2018,6671,6571,22001.29,21645.37,14304.95,13822.4,31378.35,30323.2,12478.68,12590.43,7141.4,7279.42,1251.4,1236.97,2690.95,2681.66,69.056,71.029,25.983,27.618,1327.83,1315.97,#N/A N/A,49.95,89.62,90.255
8/2/2018,6561,6331,21721.57,21890.86,13822.4,13540.57,30555.8,30451.27,12506.18,12260.29,7279.42,7170.69,1241.99,1252.53,2685.01,2581,71.137,71.858,27.864,30.347,1315.97,1319.97,#N/A N/A,49.98,90.244,90.229
9/2/2018,6350,6432,21507.74,21382.62,13540.57,12951,29679.21,29507.42,12263.1,12107.48,7170.69,7092.43,1233.2,1240.3,2601.78,2619.55,71.045,77.394,29.57,30.655,1319.97,1316.65,#N/A N/A,49.44,90.276,90.442
12/2/2018,6456,6548,21507.74,21382.62,12951,13016.46,29713.08,29459.63,12238.63,12282.77,7092.43,7177.06,1242.18,1251.02,2636.75,2656,76.799,77.907,29.9,28.361,1315.05,1324.78,#N/A N/A,49.67,90.352,90.208
13/2/2018,6550,6577,21633.34,21244.68,13016.46,13236.22,29850.15,29839.53,12282.76,12196.5,7177.06,7168.01,1242.18,1251.02,2646.27,2662.94,77.158,72.335,28.594,27.985,1324.78,1327.42,#N/A N/A,50.36,90.133,89.703
14/2/2018,6579,6704,21251.24,21154.17,13236.22,13353.5,30024.47,30515.6,12294.85,12339.16,7168.01,7213.97,1256.76,1247.57,2651.21,2698.63,72.107,73.445,28.049,25.722,1327.43,1349.23,#N/A N/A,50.35,89.69,89.121
15/2/2018,6698,6834,21384.1,21464.98,13236.22,13353.5,30958.71,31115.43,12425.45,12346.17,7213.97,7234.81,1252.67,1251.5,2713.46,2731.2,72.989,72.101,25.026,25.237,1349.23,1351.36,#N/A N/A,50.29,88.97,88.593
16/2/2018,6832,6806,21555.99,21720.25,13236.22,13353.5,30958.71,31115.43,12408.48,12451.96,7234.81,7294.7,1258.5,1239.76,2727.14,2732.22,71.279,68.132,25.072,25.398,1351.36,1346.96,#N/A N/A,50.58,88.574,89.1
19/2/2018,6832,6806,21903.66,22149.21,13236.22,13353.5,30958.71,31115.43,12495.07,12385.6,7294.7,7247.66,1243.88,1230.26,2727.14,2732.22,68.132,68.132,25.481,25.481,1347.65,1346.74,#N/A N/A,50.58,89.099,89.1
20/2/2018,6814,6811,22054.32,21925.1,13236.22,13353.5,31165.29,30873.63,12403.63,12487.9,7247.66,7246.77,1231.8,1230.77,2722.99,2716.26,66.927,66.669,24.368,26.242,1346.74,1329.53,#N/A N/A,51.18,89.24,89.716
21/2/2018,6807,6781,21942.42,21970.81,13236.22,13353.5,31050.52,31431.89,12457.22,12470.49,7246.77,7281.57,1239.27,1234.41,2720.53,2701.33,65.84,67.993,26.242,26.858,1329.54,1329.71,#N/A N/A,51.22,89.707,90
22/2/2018,6776,6810,21789.88,21736.44,13353.5,13640.6,31084.45,30965.68,12358.82,12461.91,7281.57,7252.39,1230.03,1230.31,2710.42,2703.96,67.66,67.071,27.005,28.365,1329.71,1330.11,#N/A N/A,51.36,90.158,89.736
23/2/2018,6808,6931,21789.72,21892.78,13640.6,13742.76,31289.08,31267.17,12491.77,12483.79,7252.39,7244.41,1233.87,1242.98,2715.8,2747.3,67.437,62.4,28.082,28.587,1330.11,1328.71,#N/A N/A,52.15,89.818,89.883
26/2/2018,6941,7024,22134.64,22153.63,13742.76,13812.26,31528.29,31498.6,12566.05,12527.04,7244.41,7289.58,1247.43,1252.39,2757.37,2779.6,62.728,63.643,28.37,28.885,1328.25,1332.46,#N/A N/A,52.76,89.962,89.853
27/2/2018,7023,6940,22391.67,22389.86,13812.26,13553.83,31790.85,31268.66,12573.65,12490.73,7289.58,7282.45,1255.85,1250.48,2780.45,2744.28,63.461,63.118,28.985,26.256,1332.46,1315.61,#N/A N/A,52.37,89.748,90.355
28/2/2018,6940,6891,22292.53,22068.24,13553.83,13343.01,31037.41,30844.72,12427.46,12435.85,7282.45,7231.91,1243.92,1243.58,2753.78,2713.83,63.1,60.655,25.973,26.184,1315.61,1319.32,#N/A N/A,50.83,90.393,90.613
